model,axis,expected,predicted,raw,title,author,id
base,curiosity,high,LOW,0.008742,Problema celor trei corpuri,Liu Cixin,problema-celor-trei-corpuri-liu-cixin
base,curiosity,high,LOW,0.002407,Codul lui Da Vinci,Dan Brown,codul-lui-da-vinci-dan-brown
base,curiosity,low,HIGH,0.016376,Bătrânul și marea,Ernest Hemingway,bătrânul-și-marea-ernest-hemingway
base,reflection,high,LOW,0.004087,Insuportabila ușurătate a ființei,Milan Kundera,insuportabila-ușurătate-a-ființei-milan-kundera
base,reflection,high,LOW,0.003771,Tunelul,Ernesto Sabato,tunelul-ernesto-sabato
base,reflection,high,LOW,-0.00033,Noaptea de Sânziene,Mircea Eliade,noaptea-de-sânziene-mircea-eliade
base,reflection,high,LOW,-0.00144,Un veac de singurătate,Gabriel García Márquez,un-veac-de-singurătate-gabriel-garcía-márquez
base,reflection,low,HIGH,0.013505,Insula comorii,Robert Louis Stevenson,insula-comorii-robert-louis-stevenson
base,reflection,low,HIGH,0.006725,Cireșarii,Constantin Chiriță,cireșarii-constantin-chiriță
base,reflection,low,HIGH,0.010857,Robinson Crusoe,Daniel Defoe,robinson-crusoe-daniel-defoe
base,complexity,high,LOW,-0.001611,Pendulul lui Foucault,Umberto Eco,pendulul-lui-foucault-umberto-eco
base,complexity,high,LOW,-0.005137,Detectivii sălbatici,Roberto Bolaño,detectivii-sălbatici-roberto-bolaño
base,complexity,high,LOW,-0.00052,Insuportabila ușurătate a ființei,Milan Kundera,insuportabila-ușurătate-a-ființei-milan-kundera
base,complexity,high,LOW,-0.005383,Conversație la Catedrală,Mario Vargas Llosa,conversație-la-catedrală-mario-vargas-llosa
base,complexity,low,HIGH,0.005131,"Fram, ursul polar",Cezar Petrescu,fram-ursul-polar-cezar-petrescu
base,complexity,low,HIGH,0.003024,Motanul care voia să salveze cărțile,Sōsuke Natsukawa,motanul-care-voia-să-salveze-cărțile-sōsuke-natsukawa
base,complexity,low,HIGH,0.005634,Vrăjitorul din Oz,L. Frank Baum,vrăjitorul-din-oz-l-frank-baum
base,emotionality,high,LOW,0.000501,Ispășire,Ian McEwan,ispășire-ian-mcewan
base,emotionality,high,LOW,-0.000509,Toată lumina pe care nu o putem vedea,Anthony Doerr,toată-lumina-pe-care-nu-o-putem-vedea-anthony-doerr
base,emotionality,high,LOW,-0.007521,Povestea slujitoarei,Margaret Atwood,povestea-slujitoarei-margaret-atwood
base,emotionality,low,HIGH,0.009076,Marțianul,Andy Weir,marțianul-andy-weir
